#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
20,Salvador Perez,KCR,131,540,504,129,22,1,2500.00%,6100.00%,81,22,127,10,0,0,4.00%,23.60%,0.193,0.292,0.256,0.296,0.449,0.745,0.316,99,133.6,1.74,-0.44,0.81
21,Patrick Bailey,SFG,105,406,367,84,18,1,900.00%,4000.00%,45,32,107,3,2,1,7.80%,26.40%,0.13,0.297,0.23,0.295,0.36,0.654,0.287,79,999,3.43,0.4,0.44
22,Jake Rogers,DET,97,361,325,70,13,2,1600.00%,4300.00%,46,29,116,3,2,1,8.00%,32.00%,0.201,0.278,0.217,0.286,0.417,0.703,0.302,90,327,3.68,1.44,0.58
23,Mitch Garver,SEA,103,419,363,86,15,0,2000.00%,5100.00%,56,48,107,5,1,0,11.50%,25.50%,0.206,0.276,0.236,0.331,0.442,0.772,0.334,117,183.4,4.09,-0.3,0.47
24,Austin Wells,NYY,89,350,312,72,16,1,1300.00%,4000.00%,45,30,85,4,4,1,8.60%,24.40%,0.179,0.275,0.232,0.304,0.411,0.716,0.309,94,301.3,3.81,0.33,0.58
25,Yan Gomes,CHC,98,368,340,86,16,1,1000.00%,3800.00%,45,18,71,6,1,0,4.80%,19.40%,0.138,0.289,0.252,0.297,0.39,0.687,0.297,86,361.6,2.44,-0.8,0.72
26,Luis Campusano,SDP,113,443,406,106,19,1,1300.00%,5000.00%,55,28,77,5,1,0,6.30%,17.40%,0.15,0.291,0.261,0.314,0.411,0.726,0.314,97,192.5,3.17,0.52,0.56
27,René Pinto,TBR,105,363,341,78,17,1,1400.00%,3600.00%,44,16,119,3,1,0,4.50%,32.80%,0.175,0.304,0.228,0.268,0.403,0.67,0.287,79,358.4,1.67,0.91,0.61
28,Travis d'Arnaud,ATL,81,321,294,72,15,1,1100.00%,3900.00%,42,21,73,4,0,0,6.60%,22.70%,0.171,0.29,0.247,0.306,0.418,0.723,0.313,93,392.6,2.57,0.4,0.68
29,MJ Melendez,KCR,131,554,485,117,26,4,2000.00%,7000.00%,63,61,144,3,5,2,11.00%,26.00%,0.194,0.298,0.242,0.328,0.435,0.763,0.329,108,300,4.38,-0.54,0.41
30,Freddy Fermin,KCR,54,200,182,47,9,1,600.00%,2300.00%,24,14,43,1,0,0,7.20%,21.50%,0.162,0.3,0.256,0.314,0.418,0.732,0.317,99,409.6,2.35,0.66,1.35
31,Victor Caratini,HOU,68,250,222,53,8,0,700.00%,2600.00%,28,21,53,4,1,0,8.40%,21.00%,0.131,0.278,0.237,0.312,0.368,0.679,0.298,89,542.8,2.27,1.95,1.08
32,Iván Herrera,STL,50,187,158,39,8,0,400.00%,2200.00%,20,22,44,3,2,1,11.80%,23.70%,0.126,0.311,0.245,0.344,0.371,0.714,0.318,100,440.8,1.93,0.11,1.4
