#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
162,Marco Gonzales,PIT,21,26,129.1,7,9,8,0,0,140,69,19,83,40,5.81,2.8,2.07,1.35,0.272,1.39,0.292,68.50%,4.82,4.95,605.5,2.88,1.56,1.32
163,Quinn Priester,PIT,13,22,78,4,5,4,0,0,79,42,10,63,32,7.32,3.75,1.95,1.1,0.259,1.43,0.299,67.50%,4.8,4.63,725.3,2.74,-1.07,0.52
164,Jeffrey Springs,TBR,6,13,39,3,2,3,0,0,33,15,5,44,11,10.13,2.64,3.84,1.15,0.226,1.14,0.289,74.10%,3.54,3.62,530.9,3.28,0.16,1.02
165,Drew Thorpe,SDP,10,11,56,4,3,3,0,0,52,25,8,52,19,8.39,3.04,2.76,1.22,0.242,1.26,0.286,72.10%,4.05,4.27,999,1.21,0.05,0.58
166,Luis Medina,OAK,23,23,122.1,5,9,6,0,0,115,64,15,114,64,8.43,4.72,1.79,1.11,0.245,1.46,0.294,69.20%,4.72,4.74,999,3.18,-0.28,1.49
167,Drew Rasmussen,TBR,5,20,41.2,3,2,2,0,1,36,15,4,41,11,8.94,2.44,3.66,0.91,0.232,1.15,0.289,73.90%,3.34,3.48,673.9,2.95,-0.44,1.08
168,Dakota Hudson,COL,21,25,117.1,6,8,6,0,0,135,70,15,66,49,5.09,3.74,1.36,1.15,0.285,1.57,0.305,66.50%,5.34,5.22,746.3,7.57,-0.17,2.17
169,Sawyer Gipson-Long,DET,9,27,64,4,4,4,0,1,62,30,9,63,19,8.88,2.63,3.38,1.25,0.249,1.25,0.301,69.80%,4.26,4.07,434.8,4.07,0.1,0.43
170,Ricky Tiedemann,TOR,8,13,47.1,2,4,3,0,0,41,21,6,53,21,10.13,4.04,2.51,1.14,0.229,1.31,0.293,72.80%,4.02,4.14,999,2.75,-0.78,0.67
171,Joe Ross,MIL,12,25,79,4,6,4,0,1,76,39,12,71,27,8.08,3.11,2.6,1.39,0.249,1.31,0.287,70.30%,4.47,4.67,660.8,3.19,-0.19,0.19
