#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
100,Tyler Holton,DET,0,51,56.2,3,2,0,1,10,52,23,7,51,15,8.12,2.45,3.31,1.04,0.239,1.18,0.284,73.40%,3.58,3.88,730.7,1.91,0.68,0.96
101,Keegan Akin,BAL,1,34,41,2,2,1,0,4,39,19,5,42,13,9.24,2.83,3.27,1.15,0.249,1.28,0.308,70.90%,4.12,3.88,999,3.72,-0.78,0.78
102,Emilio Pagán,CIN,0,62,63.1,4,4,0,3,12,58,31,11,68,23,9.63,3.24,2.97,1.55,0.239,1.27,0.287,71.80%,4.4,4.53,681.3,1.54,1,0.43
103,Tom Cosgrove,SDP,0,54,54.2,2,2,0,1,9,47,23,6,54,22,8.78,3.59,2.45,1.03,0.227,1.25,0.278,73.10%,3.76,4.15,999,3.17,0.92,0.81
104,Brock Burke,TEX,0,54,61.1,4,3,0,0,11,58,26,9,61,17,8.91,2.47,3.6,1.31,0.245,1.22,0.295,73.90%,3.88,4.1,750.8,1.63,-1.79,0.65
105,Justin Lawrence,COL,0,62,63.2,3,4,0,15,10,62,32,7,66,33,9.34,4.63,2.02,0.95,0.251,1.49,0.318,69.80%,4.57,4.29,372.5,3.65,-1.91,1.29
106,James McArthur,KCR,0,57,62.1,3,3,0,12,9,61,29,7,60,21,8.61,3,2.87,1,0.252,1.31,0.308,69.80%,4.17,3.95,351.7,2.92,-0.58,0.98
107,Robert Garcia,WSN,0,49,54,3,3,0,0,9,49,25,7,57,25,9.55,4.16,2.3,1.12,0.24,1.38,0.3,71.80%,4.25,4.25,999,2.03,-1.28,0.46
108,Collin McHugh,,1,42,53.1,3,1,0,0,11,52,23,6,49,16,8.26,2.71,3.05,1.08,0.251,1.27,0.301,72.90%,3.87,4.05,999,1.39,0.03,0.72
109,Ryan Brasier,LAD,0,56,56.1,3,2,0,1,14,52,26,8,56,17,8.91,2.79,3.2,1.22,0.241,1.23,0.291,70.50%,4.1,4.08,743.6,2.26,-0.01,0.67
110,Chris Stratton,KCR,0,60,65.2,3,3,0,1,10,65,32,8,63,24,8.6,3.29,2.61,1.11,0.253,1.35,0.307,70.00%,4.35,4.14,749.2,2.93,-1.55,0.34
111,Kody Funderburk,MIN,0,37,40.2,3,1,0,0,3,36,16,4,45,17,9.92,3.8,2.61,0.79,0.235,1.31,0.308,73.60%,3.61,3.61,751,2.54,0.72,0.81
112,Ryan Borucki,PIT,1,50,51.2,3,1,1,0,10,47,23,6,46,17,7.98,2.88,2.77,1.1,0.239,1.23,0.282,69.90%,4.06,4.21,750.4,1.34,0.15,0.69
113,Justin Topa,MIN,0,55,53.1,3,3,0,1,14,53,23,5,46,16,7.8,2.76,2.83,0.87,0.256,1.31,0.307,71.10%,3.93,3.84,743.1,1.54,0.12,0.65
114,Miguel Díaz,DET,1,47,52.2,3,2,0,0,7,51,24,6,52,23,8.82,3.89,2.26,0.97,0.251,1.4,0.31,72.00%,4.16,4.09,999,4.86,0.91,0.52
115,Steven Okert,MIN,0,50,49.1,2,2,0,0,11,41,22,7,60,21,10.95,3.74,2.93,1.25,0.224,1.25,0.293,72.00%,4.06,4.06,999,2.4,-1.07,0.66
116,José Soriano,LAA,0,56,59.2,3,4,0,1,15,51,26,6,71,32,10.68,4.8,2.23,0.94,0.228,1.39,0.305,73.10%,3.98,4.09,999,2.32,-0.37,0.53
117,Jesse Chavez,CHW,1,47,50,2,2,1,1,10,48,22,7,51,18,9.23,3.23,2.86,1.2,0.248,1.31,0.304,74.20%,3.96,4.16,741.3,1.95,-0.71,0.73
118,Phil Maton,TBR,0,59,59.2,3,2,0,0,10,52,26,7,66,22,10.03,3.34,3,1.11,0.232,1.25,0.296,72.70%,3.86,4.01,739.5,1.46,-0.48,0.63
119,Kyle Finnegan,WSN,0,65,66.2,4,4,0,19,9,63,30,9,66,25,8.89,3.41,2.61,1.23,0.246,1.32,0.297,73.60%,4.06,4.28,240.3,2.71,-2.33,1.26
120,Jonathan Loáisiga,NYY,0,47,50.2,3,3,0,3,12,48,21,5,41,14,7.29,2.57,2.84,0.97,0.245,1.23,0.285,72.10%,3.74,4.05,662.2,2.29,0.28,0.91
121,Trevor Richards,TOR,1,45,51,2,2,0,0,8,43,24,8,64,23,11.38,4.05,2.81,1.4,0.225,1.29,0.295,72.40%,4.26,4.19,745.2,2.96,-0.68,0.54
122,Luis García,LAA,0,58,59,3,3,0,1,11,57,27,6,56,22,8.56,3.3,2.6,0.98,0.251,1.34,0.307,71.60%,4.05,4.06,999,2.14,-0.73,0.55
