#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
212,Johan Rojas,PHI,90,292,318,78,56,14,3,5,40,33,15,0,72,4,1,5,21,3,0.266
213,Nick Madrigal,CHC,84,293,321,82,64,15,2,1,36,28,18,0,31,6,1,3,8,2,0.281
214,Willi Castro,MIN,112,393,437,97,65,19,3,10,57,42,30,1,102,9,3,2,25,5,0.247
215,Brice Turang,MIL,118,409,456,99,70,18,3,8,51,42,40,1,93,2,3,3,20,4,0.242
216,Wilmer Flores,SFG,115,411,463,105,67,20,1,17,54,58,42,0,69,6,4,0,0,0,0.256
217,Jeimer Candelario,CIN,131,487,548,122,72,29,2,20,69,72,49,1,125,8,4,0,4,1,0.251
218,Marco Luciano,SFG,117,404,453,91,59,18,1,12,49,47,43,0,143,3,2,1,6,1,0.224
219,Jake Meyers,HOU,96,324,358,76,50,16,2,9,42,38,26,0,94,5,2,1,6,2,0.236
220,Luis García Jr.,WSN,115,435,467,119,82,23,3,10,54,51,25,1,71,2,4,1,7,3,0.273
221,Javier Báez,DET,132,502,539,121,81,23,3,14,61,61,25,0,134,8,3,1,11,3,0.241
222,Michael A. Taylor,,97,343,377,79,51,13,1,13,45,43,27,0,113,3,2,2,9,2,0.231
223,Gio Urshela,DET,82,298,322,82,58,15,1,7,35,37,19,0,58,2,3,0,2,1,0.274
224,Freddy Fermin,KCR,54,182,200,47,31,9,1,6,23,24,14,0,43,1,1,1,0,0,0.256
225,Luke Raley,SEA,105,359,404,83,50,15,1,16,50,49,29,1,127,12,3,1,10,2,0.232
226,J.D. Martinez,,108,438,486,112,64,25,1,22,61,74,40,1,135,3,5,0,1,0,0.256
227,Kyle Isbel,KCR,100,341,373,83,52,19,3,9,47,39,25,0,78,3,2,1,10,3,0.243
228,Tim Anderson,MIA,125,507,539,140,108,24,2,7,65,45,25,0,114,4,2,1,15,4,0.276
229,José Caballero,TBR,86,253,297,57,39,12,1,5,37,27,32,0,68,9,3,1,22,4,0.227
230,Wilyer Abreu,BOS,111,378,433,92,57,20,1,13,54,51,49,1,113,3,2,1,10,3,0.242
231,Joey Ortiz,MIL,93,299,327,77,52,17,2,6,38,35,21,1,67,3,4,1,5,1,0.257
232,Victor Caratini,HOU,68,222,250,53,37,8,0,7,26,28,21,1,53,4,2,1,1,0,0.237
233,Myles Straw,CLE,118,412,460,102,79,19,2,2,51,32,40,0,81,2,4,3,19,4,0.248
234,Andrew Benintendi,CHW,135,513,573,137,99,27,2,8,67,50,51,2,87,3,4,2,11,3,0.267
235,Iván Herrera,STL,50,158,187,39,27,8,0,4,22,20,22,0,44,3,2,2,2,1,0.245
236,Miguel Amaya,CHC,70,221,254,50,32,10,0,7,27,28,23,1,68,7,2,1,1,0,0.225
237,Nelson Velázquez,KCR,105,372,412,88,45,18,1,23,52,55,33,2,124,4,2,1,6,2,0.236
238,Michael Conforto,SFG,116,409,472,101,67,19,0,15,56,56,52,3,105,8,3,0,3,1,0.247
239,Alex Kirilloff,MIN,102,359,400,95,62,19,1,13,48,51,31,1,93,7,3,0,2,1,0.265
240,Seth Brown,OAK,118,416,460,96,53,22,2,20,51,62,38,2,123,3,2,1,6,2,0.231
241,Anthony Rizzo,NYY,120,444,509,106,65,19,1,21,63,64,47,2,104,15,3,0,3,2,0.238
242,Ramón Urías,BAL,78,270,299,67,46,14,1,7,33,32,22,0,73,5,2,1,2,1,0.249
243,Starling Marte,NYM,112,428,470,112,80,19,2,11,59,47,28,1,93,10,2,1,25,6,0.261
244,Matt Vierling,DET,103,373,413,96,67,18,3,8,48,39,32,1,85,4,3,1,7,3,0.258
245,Nick Fortes,MIA,90,288,318,67,45,12,1,9,35,32,21,0,58,6,2,1,5,2,0.231
246,Will Benson,CIN,108,349,409,80,47,16,4,13,56,43,52,1,126,4,2,2,16,3,0.229
247,Connor Wong,BOS,101,334,363,79,49,18,1,11,42,39,21,0,111,4,2,2,6,2,0.237
248,Jarred Kelenic,ATL,126,455,510,110,65,26,2,17,66,63,48,3,143,3,3,1,14,4,0.242
249,Patrick Wisdom,CHC,92,312,353,66,33,12,0,20,45,51,34,1,126,4,2,1,5,2,0.21
250,Darell Hernaiz,OAK,88,322,352,80,57,16,2,5,37,31,21,1,61,3,2,3,8,2,0.249
