#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
785,Cody Morris,NYY,2,1,4.14,31,0,0,3,37,160,33,18,17,5,18,0,1,40
786,Joe Jacques,BOS,1,1,4.66,23,0,0,1,24.2,109,26,14,13,3,10,1,2,19
787,Juan Then,CHW,0,0,5.16,5,0,0,0,5.2,26,7,3,3,1,2,0,0,4
788,Austin Davis,SDP,0,0,5.48,6,0,0,1,7.1,33,6,5,5,1,4,0,0,7
789,Luke Albright,ARI,0,0,5.42,1,1,0,0,6.1,28,7,4,4,1,3,0,0,5
790,Yoendrys Gómez,,1,0,4.33,14,0,0,1,15.2,69,14,8,8,2,7,0,2,16
791,Mauricio Llovera,SEA,2,2,4.4,28,0,0,2,31.2,135,30,17,15,4,12,2,2,30
792,Kyle Muller,OAK,2,4,5,39,5,0,3,61.1,273,64,37,34,8,29,1,2,52
793,Wander Suero,HOU,1,1,4.7,16,0,0,1,16.1,71,16,9,9,2,7,0,1,15
794,Dylan Dodd,,1,1,5.4,10,3,0,0,23,103,27,15,14,4,8,0,1,17
795,Brandon Hughes,ARI,1,1,4.18,15,0,0,1,15.1,65,14,8,7,2,6,1,1,17
796,Josh James,STL,0,0,4.88,8,0,0,1,8,35,8,5,4,1,4,0,0,8
797,Rony García,,1,1,5.03,7,1,0,1,12.1,54,12,8,7,2,5,0,1,11
798,Joel Kuhnel,HOU,1,1,5.11,12,0,0,1,14,61,16,9,8,2,4,1,1,10
799,Jeurys Familia,,1,1,4.92,17,0,0,1,17,76,17,10,9,2,9,0,1,15
800,John Curtiss,,1,1,5.14,18,0,0,1,19.2,85,21,12,11,4,8,0,1,17
801,Jordan Leasure,CHW,2,2,4.43,36,0,2,2,37,159,34,20,18,6,17,0,1,39
802,Matt Festa,SDP,0,0,4.3,13,0,0,1,13.1,57,11,7,6,2,6,0,1,14
803,Daniel Castano,,0,0,5.35,3,1,0,0,8.1,38,10,5,5,2,3,0,0,6
804,Kolton Ingram,,1,1,4.46,17,0,0,1,18.1,80,17,10,9,2,9,0,1,17
805,Logan Sawyer,STL,0,1,4.88,9,0,0,1,9,39,9,5,5,1,4,0,0,7
806,Shane Greene,TEX,0,0,4.76,13,0,2,2,16.1,71,16,9,9,2,8,0,1,16
807,Tyler Matzek,ATL,2,2,4.21,38,0,0,7,38.2,170,34,20,18,5,22,1,2,40
