#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
87,Jonathan Ornelas,TEX,19,42,39,9,2,0,1,5,4,3,12,0,1,0,7.30%,28.70%,0.101,0.313,0.227,0.291,0.328,0.619,0.275,69,999,3.86,1.02,1.96
88,Ryan Kreidler,DET,16,53,47,10,2,0,1,6,5,5,16,0,1,0,8.90%,30.20%,0.126,0.292,0.212,0.288,0.338,0.626,0.278,73,999,4.56,1.4,1.89
89,Zack Short,NYM,26,88,75,15,3,0,3,9,9,10,26,0,1,0,11.50%,29.30%,0.147,0.25,0.195,0.289,0.343,0.632,0.279,74,999,3.03,-0.29,1.68
90,Angel Martínez,CLE,18,52,48,11,2,0,1,5,5,3,11,0,1,0,6.50%,22.00%,0.125,0.287,0.234,0.291,0.359,0.65,0.285,81,999,0.75,0.2,1.93
91,Casey Schmitt,SFG,42,156,144,34,7,0,3,16,16,8,36,2,1,0,5.20%,23.40%,0.122,0.289,0.235,0.282,0.357,0.638,0.278,73,657.5,3.8,0.38,1.5
92,Kyren Paris,LAA,16,59,52,11,3,0,1,7,5,6,19,0,3,0,10.70%,32.90%,0.111,0.324,0.215,0.305,0.326,0.631,0.284,76,999,4.41,1.47,1.92
93,Kevin Newman,ARI,15,59,55,15,3,0,1,6,5,3,8,0,1,0,5.70%,13.50%,0.091,0.299,0.265,0.31,0.357,0.667,0.293,81,999,4.72,-0.05,1.98
94,Ernie Clement,TOR,20,62,58,15,3,0,1,7,7,3,7,0,1,0,5.30%,10.50%,0.105,0.277,0.258,0.299,0.363,0.661,0.289,82,999,3.45,0.47,1.92
95,Jacob Amaya,MIA,22,78,70,16,4,0,1,9,7,7,16,0,1,0,8.70%,21.00%,0.101,0.282,0.228,0.298,0.329,0.628,0.28,72,999,5.31,0.79,1.82
96,Ryan Bliss,SEA,16,69,64,14,3,0,2,8,6,4,17,0,3,1,6.30%,24.80%,0.12,0.281,0.223,0.276,0.343,0.619,0.272,74,999,3.58,0.01,1.88
97,David Hamilton,BOS,9,30,27,6,1,0,1,4,3,3,8,0,1,0,9.50%,25.50%,0.119,0.284,0.222,0.298,0.341,0.64,0.284,72,748.7,2.55,-0.57,2.02
98,Austin Martin,MIN,14,56,49,11,2,0,1,6,5,5,11,2,2,0,9.20%,19.80%,0.098,0.282,0.232,0.322,0.33,0.652,0.294,86,999,1.84,-0.69,1.94
99,Alan Trejo,COL,40,139,129,32,7,0,3,15,16,8,33,1,2,1,5.50%,23.60%,0.143,0.302,0.246,0.293,0.389,0.682,0.295,68,749.7,1.72,-1.34,1.6
100,David Fletcher,ATL,38,143,134,35,6,0,1,16,12,7,13,1,2,1,4.80%,9.10%,0.066,0.287,0.264,0.303,0.33,0.632,0.279,71,750.8,2.54,-0.41,1.74
101,Diego Castillo,BAL,15,39,35,8,1,0,1,5,4,3,8,0,0,0,8.60%,19.40%,0.1,0.274,0.231,0.3,0.332,0.631,0.281,78,999,2.56,-0.65,1.96
102,Danny Mendick,,23,72,66,16,3,0,1,8,7,5,15,1,1,0,7.20%,20.00%,0.1,0.287,0.238,0.299,0.338,0.637,0.283,76,999,3.31,2.72,1.87
103,Leo Jimenez,TOR,6,25,23,5,1,0,0,3,3,2,5,1,0,0,7.90%,19.80%,0.068,0.304,0.241,0.322,0.309,0.631,0.287,81,999,2.33,-0.44,2.03
104,Brady House,WSN,8,32,30,7,1,0,1,3,3,2,9,1,0,0,4.80%,27.60%,0.129,0.319,0.244,0.293,0.373,0.666,0.291,80,999,2.05,-0.77,2
105,Alika Williams,PIT,18,57,52,12,3,0,1,6,5,4,14,0,0,0,7.50%,24.30%,0.097,0.297,0.229,0.292,0.326,0.618,0.275,68,999,3.3,0.1,1.9
